,postal_code,data_df1,Children in each neighbor,Children Points,data_df2,Single parents,Single parents Points,Unnamed: 0,data,After-tax Income,After-tax Income Rank Score,Unnamed: 0_df4,data_df4,Number of bachlors degreess,Education Score,Unnamed: 0_df5,data_df5,value,Score,mobility_score,final score
45,M1M,2021A0011M1M - Children - Counts - Total,7710.0,51.0,2021A0011M1M - Total one-parent families - Counts - Total,1285.0,42.0,8.0,2021A0011M1M - Median after-tax income in 2020 among recipients ($) - Counts - Total,34000.0,39.0,8.0,2021A0011M1M - Bachelor's degree or higher - Counts - Total,6700.0,27.0,8,2021A0011M1M - Movers - Counts - Total,2210.0,29,29,35.74999999999999
92,M5G,2021A0011M5G - Children - Counts - Total,1315.0,4.0,2021A0011M5G - Total one-parent families - Counts - Total,325.0,5.0,57.0,2021A0011M5G - Median after-tax income in 2020 among recipients ($) - Counts - Total,40000.0,60.0,57.0,2021A0011M5G - Bachelor's degree or higher - Counts - Total,6220.0,22.0,57,2021A0011M5G - Movers - Counts - Total,3490.0,59,59,35.45
49,M6A,2021A0011M6A - Children - Counts - Total,7430.0,47.0,2021A0011M6A - Total one-parent families - Counts - Total,1710.0,59.0,67.0,2021A0011M6A - Median after-tax income in 2020 among recipients ($) - Counts - Total,33600.0,37.0,67.0,2021A0011M6A - Bachelor's degree or higher - Counts - Total,6430.0,25.0,71,2021A0011M6A - Movers - Counts - Total,2450.0,35,35,35.2
79,M2L,2021A0011M2L - Children - Counts - Total,3855.0,17.0,2021A0011M2L - Total one-parent families - Counts - Total,615.0,17.0,20.0,2021A0011M2L - Median after-tax income in 2020 among recipients ($) - Counts - Total,41600.0,67.0,20.0,2021A0011M2L - Bachelor's degree or higher - Counts - Total,5250.0,17.0,20,2021A0011M2L - Movers - Counts - Total,1045.0,6,6,33.4
95,M5H,2021A0011M5H - Children - Counts - Total,280.0,1.0,2021A0011M5H - Total one-parent families - Counts - Total,45.0,1.0,58.0,2021A0011M5H - Median after-tax income in 2020 among recipients ($) - Counts - Total,52000.0,87.0,58.0,2021A0011M5H - Bachelor's degree or higher - Counts - Total,2270.0,4.0,58,2021A0011M5H - Movers - Counts - Total,1380.0,13,13,33.349999999999994
55,M9P,2021A0011M9P - Children - Counts - Total,6760.0,41.0,2021A0011M9P - Total one-parent families - Counts - Total,1460.0,49.0,92.0,2021A0011M9P - Median after-tax income in 2020 among recipients ($) - Counts - Total,37600.0,49.0,92.0,2021A0011M9P - Bachelor's degree or higher - Counts - Total,5210.0,16.0,99,2021A0011M9P - Movers - Counts - Total,1495.0,16,16,32.95
48,M1H,2021A0011M1H - Children - Counts - Total,7600.0,48.0,2021A0011M1H - Total one-parent families - Counts - Total,1440.0,48.0,4.0,2021A0011M1H - Median after-tax income in 2020 among recipients ($) - Counts - Total,31800.0,22.0,4.0,2021A0011M1H - Bachelor's degree or higher - Counts - Total,6895.0,31.0,4,2021A0011M1H - Movers - Counts - Total,2835.0,42,42,32.35
87,M2P,2021A0011M2P - Children - Counts - Total,2370.0,9.0,2021A0011M2P - Total one-parent families - Counts - Total,335.0,6.0,23.0,2021A0011M2P - Median after-tax income in 2020 among recipients ($) - Counts - Total,44400.0,74.0,23.0,2021A0011M2P - Bachelor's degree or higher - Counts - Total,3810.0,9.0,23,2021A0011M2P - Movers - Counts - Total,860.0,4,4,31.099999999999994
40,M9N,2021A0011M9N - Children - Counts - Total,8515.0,56.0,2021A0011M9N - Total one-parent families - Counts - Total,2120.0,73.0,91.0,2021A0011M9N - Median after-tax income in 2020 among recipients ($) - Counts - Total,33200.0,35.0,91.0,2021A0011M9N - Bachelor's degree or higher - Counts - Total,4015.0,12.0,98,2021A0011M9N - Movers - Counts - Total,1870.0,23,23,30.8
94,M5C,2021A0011M5C - Children - Counts - Total,355.0,2.0,2021A0011M5C - Total one-parent families - Counts - Total,95.0,2.0,55.0,2021A0011M5C - Median after-tax income in 2020 among recipients ($) - Counts - Total,51600.0,85.0,55.0,2021A0011M5C - Bachelor's degree or higher - Counts - Total,1770.0,1.0,55,2021A0011M5C - Movers - Counts - Total,730.0,3,3,30.799999999999997
23,M1G,2021A0011M1G - Children - Counts - Total,11120.0,73.0,2021A0011M1G - Total one-parent families - Counts - Total,1955.0,65.0,3.0,2021A0011M1G - Median after-tax income in 2020 among recipients ($) - Counts - Total,29200.0,4.0,3.0,2021A0011M1G - Bachelor's degree or higher - Counts - Total,6770.0,28.0,3,2021A0011M1G - Movers - Counts - Total,2930.0,47,47,30.099999999999998
37,M9M,2021A0011M9M - Children - Counts - Total,8985.0,59.0,2021A0011M9M - Total one-parent families - Counts - Total,1990.0,67.0,90.0,2021A0011M9M - Median after-tax income in 2020 among recipients ($) - Counts - Total,32000.0,28.0,90.0,2021A0011M9M - Bachelor's degree or higher - Counts - Total,4210.0,13.0,97,2021A0011M9M - Movers - Counts - Total,1895.0,24,24,28.950000000000003
65,M4B,2021A0011M4B - Children - Counts - Total,5795.0,31.0,2021A0011M4B - Total one-parent families - Counts - Total,1185.0,38.0,35.0,2021A0011M4B - Median after-tax income in 2020 among recipients ($) - Counts - Total,35200.0,43.0,35.0,2021A0011M4B - Bachelor's degree or higher - Counts - Total,4395.0,15.0,35,2021A0011M4B - Movers - Counts - Total,1720.0,20,20,28.849999999999998
42,M3M,2021A0011M3M - Children - Counts - Total,8345.0,54.0,2021A0011M3M - Total one-parent families - Counts - Total,2035.0,70.0,32.0,2021A0011M3M - Median after-tax income in 2020 among recipients ($) - Counts - Total,32400.0,31.0,32.0,2021A0011M3M - Bachelor's degree or higher - Counts - Total,3975.0,11.0,32,2021A0011M3M - Movers - Counts - Total,1805.0,21,21,28.4
44,M3J,2021A0011M3J - Children - Counts - Total,7940.0,52.0,2021A0011M3J - Total one-parent families - Counts - Total,1890.0,64.0,29.0,2021A0011M3J - Median after-tax income in 2020 among recipients ($) - Counts - Total,30600.0,12.0,29.0,2021A0011M3J - Bachelor's degree or higher - Counts - Total,6315.0,23.0,29,2021A0011M3J - Movers - Counts - Total,3075.0,50,50,28.25
73,M4X,2021A0011M4X - Children - Counts - Total,4585.0,23.0,2021A0011M4X - Total one-parent families - Counts - Total,1035.0,32.0,51.0,2021A0011M4X - Median after-tax income in 2020 among recipients ($) - Counts - Total,31600.0,19.0,51.0,2021A0011M4X - Bachelor's degree or higher - Counts - Total,7175.0,33.0,51,2021A0011M4X - Movers - Counts - Total,2735.0,40,40,27.25
7,M3N,2021A0011M3N - Children - Counts - Total,16410.0,89.0,2021A0011M3N - Total one-parent families - Counts - Total,4520.0,95.0,33.0,2021A0011M3N - Median after-tax income in 2020 among recipients ($) - Counts - Total,28400.0,3.0,33.0,2021A0011M3N - Bachelor's degree or higher - Counts - Total,3855.0,10.0,33,2021A0011M3N - Movers - Counts - Total,2620.0,39,39,26.550000000000004
85,M5T,2021A0011M5T - Children - Counts - Total,2780.0,11.0,2021A0011M5T - Total one-parent families - Counts - Total,800.0,27.0,65.0,2021A0011M5T - Median after-tax income in 2020 among recipients ($) - Counts - Total,29800.0,10.0,65.0,2021A0011M5T - Bachelor's degree or higher - Counts - Total,7275.0,35.0,67,2021A0011M5T - Movers - Counts - Total,3700.0,60,60,24.75
52,M6L,2021A0011M6L - Children - Counts - Total,7100.0,44.0,2021A0011M6L - Total one-parent families - Counts - Total,1705.0,57.0,75.0,2021A0011M6L - Median after-tax income in 2020 among recipients ($) - Counts - Total,31800.0,22.0,75.0,2021A0011M6L - Bachelor's degree or higher - Counts - Total,3120.0,6.0,79,2021A0011M6L - Movers - Counts - Total,1220.0,10,10,20.25
74,M4A,2021A0011M4A - Children - Counts - Total,4535.0,22.0,2021A0011M4A - Total one-parent families - Counts - Total,1040.0,33.0,34.0,2021A0011M4A - Median after-tax income in 2020 among recipients ($) - Counts - Total,32400.0,31.0,34.0,2021A0011M4A - Bachelor's degree or higher - Counts - Total,3545.0,8.0,34,2021A0011M4A - Movers - Counts - Total,1305.0,12,12,19.8
86,M3K,2021A0011M3K - Children - Counts - Total,2490.0,10.0,2021A0011M3K - Total one-parent families - Counts - Total,540.0,15.0,30.0,2021A0011M3K - Median after-tax income in 2020 among recipients ($) - Counts - Total,35600.0,44.0,30.0,2021A0011M3K - Bachelor's degree or higher - Counts - Total,1965.0,3.0,30,2021A0011M3K - Movers - Counts - Total,1140.0,8,8,19.5
61,M1X,2021A0011M1X - Children - Counts - Total,5985.0,35.0,2021A0011M1X - Total one-parent families - Counts - Total,650.0,19.0,16.0,2021A0011M1X - Median after-tax income in 2020 among recipients ($) - Counts - Total,32000.0,28.0,16.0,2021A0011M1X - Bachelor's degree or higher - Counts - Total,3145.0,7.0,16,2021A0011M1X - Movers - Counts - Total,720.0,2,2,18.65
50,M3L,2021A0011M3L - Children - Counts - Total,7175.0,46.0,2021A0011M3L - Total one-parent families - Counts - Total,1760.0,60.0,31.0,2021A0011M3L - Median after-tax income in 2020 among recipients ($) - Counts - Total,30600.0,12.0,31.0,2021A0011M3L - Bachelor's degree or higher - Counts - Total,2380.0,5.0,31,2021A0011M3L - Movers - Counts - Total,1425.0,15,15,17.349999999999998
46,M4H,2021A0011M4H - Children - Counts - Total,7705.0,50.0,2021A0011M4H - Total one-parent families - Counts - Total,740.0,24.0,39.0,2021A0011M4H - Median after-tax income in 2020 among recipients ($) - Counts - Total,27000.0,1.0,39.0,2021A0011M4H - Bachelor's degree or higher - Counts - Total,4280.0,14.0,39,2021A0011M4H - Movers - Counts - Total,1400.0,14,14,15.35
76,M9L,2021A0011M9L - Children - Counts - Total,4235.0,20.0,2021A0011M9L - Total one-parent families - Counts - Total,780.0,26.0,89.0,2021A0011M9L - Median after-tax income in 2020 among recipients ($) - Counts - Total,29600.0,8.0,89.0,2021A0011M9L - Bachelor's degree or higher - Counts - Total,1960.0,2.0,96,2021A0011M9L - Movers - Counts - Total,1055.0,7,7,8.5
96,M5W,,,,,,,,,,,,,,,69,2021A0011M5V - Movers - Counts - Total,21160.0,95,95,
97,M5X,,,,,,,,,,,,,,,70,2021A0011M5V - Movers - Counts - Total,21160.0,95,95,
98,M5K,,,,,,,,,,,,,,,60,2021A0011M5J - Movers - Counts - Total,5150.0,80,80,
99,M5L,,,,,,,,,,,,,,,61,2021A0011M5J - Movers - Counts - Total,5150.0,80,80,
100,M7A,,,,,,,,,,,,,,,85,2021A0011M7A - Movers - Counts - Total,0.0,1,1,
101,M7Y,,,,,,,,,,,,,,,87,2021A0011M7A - Movers - Counts - Total,0.0,1,1,
102,M7R,,,,,,,,,,,,,,,86,2021A0011M7A - Movers - Counts - Total,0.0,1,1,
